allBanksEver1,allBanksEver2,allBanksEver3,allBanksEver4,allBanksEver5,allBanksEver6,allBanksEver7,allBanksEver8,allBanksEver9,allBanksEver10
77758,NaN,5393,FIRST NATIONAL BANK & TRUST COMPANY OF COLUMBUS,2623 13TH STREET ,COLUMBUS,NE,68601,041,
77851,NaN,3973,FIRST NATIONAL BANK IN BROOKINGS,424 5TH STREET ,BROOKINGS,SD,57006,041,
78036,NaN,156,MONROE COUNTY BANK,1 EAST MAIN STREET ,FORSYTH,GA,31029,041,
78054,NaN,8854,YELLOW MEDICINE COUNTY BANK,180 8TH AVENUE ,GRANITE FALLS,MN,56241,041,
78157,NaN,26653,BANDERA BANK,207 MAIN STREET ,BANDERA,TX,78003,041,
78241,NaN,21379,"FIRST NATIONAL BANK OF MCGEHEE, THE",500 NORTH SECOND STREET ,MCGEHEE,AR,71654,041,
78559,NaN,25054,HULETT NATIONAL BANK,133 MAIN STREET ,HULETT,WY,82720,041,
78643,NaN,15403,"STATE BANK OF VIROQUA, THE",101 NORTH MAIN STREET P O BOX 351,VIROQUA,WI,54665,041,
78858,NaN,3258,"FIRST STATE BANK, HONEY GROVE, TEXAS",5TH & MARKET ,HONEY GROVE,TX,75446,041,
78951,NaN,4112,"STATE NATIONAL BANK OF HEAVENER, THE",101 EAST AVENUE B ,HEAVENER,OK,74937,041,
79042,NaN,12166,WEST POINT BANK,600 WEST LINCOLN TRAIL BOULEVARD ,RADCLIFF,KY,40160,041,
79127,NaN,6680,HOME NATIONAL BANK,3RD STREET ,RACINE,OH,45771,041,
79145,NaN,13242,FARMERS & MERCHANTS STATE BANK,210 WEST MADISON STREET ,WATERLOO,WI,53594,041,
79257,NaN,8857,FIRST STATE BANK OF GROVE CITY,110 ATLANTIC AVE. WEST ,GROVE CITY,MN,56243,041,
79855,NaN,5396,CITY BANK & TRUST CO.,1135 MAIN STREET ,CRETE,NE,68333,041,
80020,NaN,7907,"MANOR NATIONAL BANK, THE",RACE STREET ,MANOR,PA,15665,041,
80150,NaN,1122,FIRST FIDELITY BANK,745 MAIN STREET ,BURKE,SD,57523,041,
80374,NaN,29345,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELTA,404 MAIN STREET ,DELTA,OH,43515,041,
80431,NaN,9179,UNION BANK & TRUST COMPANY,201 EAST MAIN ,LIVINGSTON,TN,38570,041,
80552,NaN,8199,STATE BANK OF HAMBURG,591 PARK AVE. ,HAMBURG,MN,55339,041,
80776,NaN,28356,OSAGE FEDERAL BANK,239 EAST MAIN STREET ,PAWHUSKA,OK,74056,041,
80936,NaN,19195,CAPITAL BANK,625 BATTLEFIELD PARKWAY ,FORT OGLETHORPE,GA,30742,041,
81054,NaN,1919,HAMPTON BANK,23280 MAIN STREET ,HAMPTON,MN,55031,041,
81175,NaN,31485,EQUITABLE BANK,113 NORTH LOCUST ,GRAND ISLAND,NE,68801,041,
81223,NaN,15107,"SECOND NATIONAL BANK OF MASONTOWN, THE",110 SOUTH MAIN ST ,MASONTOWN,PA,154612099,041,
81429,NaN,27055,CLOVER COMMUNITY BANK,124 NORTH MAIN ,CLOVER,SC,29710,041,
82024,NaN,21641,ATLANTIC BANK,4604 COASTAL HIGHWAY ,OCEAN CITY,MD,21842,041,
82033,NaN,26829,FIRST NATIONAL BANK OF PASCO,13315 US HIGHWAY 301 ,DADE CITY,FL,33525,041,
82079,NaN,30783,ATLAS BANK,689 FIFTH AVE ,NEW YORK,NY,11215,041,
82257,NaN,6064,BRYANT STATE BANK,MAIN & RAILWAY AVE. ,BRYANT,SD,57221,041,
82350,NaN,22835,"LAUDERDALE COUNTY BANK, THE",305 SOUTH CHURCH ,HALLS,TN,38040,041,
82659,NaN,10957,CITIZENS STATE BANK OF HAYFIELD,30 MAIN STREET EAST ,HAYFIELD,MN,55940,041,
82873,NaN,28363,MARIETTA SAVINGS BANK,226 THIRD ST ,MARIETTA,OH,45750,041,
83151,NaN,8188,COMMUNITY BANK MINNESOTA VALLEY,101 CREEK LANE PARKWAY ,JORDAN,MN,55352,041,
83236,NaN,19125,BANK OF THE SOUTH,4410 WEST FAIRFIELD DRIVE ,PENSACOLA,FL,32506,041,
83311,NaN,679,"PNC BANK, DELAWARE",300 DELAWARE AVENUE ,WILMINGTON,DE,19899,041,
83357,NaN,4126,"FIRST STATE BANK, JONES, OKLAHOMA",100 EAST MAIN STREET ,JONES,OK,73049,041,
83375,NaN,28362,CENTURY BANK,100 SOUTH FEDERAL PLACE ,SANTA FE,NM,87504,041,
83450,NaN,15515,CENTENNIAL BANK OF THE WEST,100 OAK AVENUE ,EATON,CO,80615,041,
83638,NaN,22953,"COMMERCEBANK, NATIONAL ASSOCIATION",220 ALHAMBRA CIRCLE 12TH FLOOR,CORAL GABLES,FL,33134,031,
83834,NaN,17906,AMERICAN BANK & TRUST COMPANY,318 E LANDRY ,OPELOUSAS,LA,70570,041,
83852,NaN,1675,RICHLAND STATE BANK,MAIN STREET ,BRUCE,SD,57220,041,
83955,NaN,15255,GREENFIELD BANKING COMPANY,FRONT STREET ,GREENFIELD,TN,38230,041,
84046,NaN,10123,FIRST TRUST & SAVINGS BANK,1831 2ND STREET PO BOX 5760,CORALVILLE,IA,522410760,041,
84055,NaN,5163,"FIRST NATIONAL BANK OF HERMAN, THE",HWY 27 ,HERMAN,MN,56248,041,
84251,NaN,10652,FARMERS STATE BANK,220 EAST NEBRASKA STREET ,EWING,NE,68735,041,
84345,NaN,1006,CITIZENS STATE BANK,51066 WASHINGTON ,NEW BALTIMORE,MI,48047,041,
84541,NaN,15953,GUARANTY BANK AND TRUST COMPANY,210 HAYDEN STREET ,BELZONI,MS,39038,041,
84804,NaN,8908,CITIZENS BANK OF CAPE VINCENT,BROADWAY STREET ,CAPE VINCENT,NY,13618,041,
84970,NaN,28361,LBA SAVINGS BANK,200 WEST CONGRESS STREET ,LAFAYETTE,LA,70501,041,
85043,NaN,15814,FIRST NATIONAL BANK,600 MAIN STREET ,ROSEDALE,MS,38769,041,
85052,NaN,1167,UINTA COUNTY STATE BANK,128 NORTH BIRCH STREET ,MOUNTAIN VIEW,WY,82939,041,
85258,NaN,8212,EXCHANGE STATE BANK OF HILLS,HIGHWAY 270 AND COUNTY RD. 6 ,HILLS,MN,56138,041,
85454,NaN,4130,BANK OF LAVERNE,111 E JANE JAYROE BLVD ,LAVERNE,OK,73848,041,
85472,NaN,28359,OCEANFIRST BANK,975 HOOPER AVE ,TOMS RIVER,NJ,08753,041,
85771,NaN,30789,BANK 360,101 SOUTH THIRD STREET ,BERESFORD,SD,57004,041,
85856,NaN,16963,FILLEY BANK,111 LIVINGSTON STREET ,FILLEY,NE,68357,041,
85931,NaN,12609,PATTERSON STATE BANK,1130 HIGHWAY 90 WEST ,PATTERSON,LA,70392,041,
86349,NaN,14597,"UNION BANK OF MENA, THE",515 JANSSEN AVENUE ,MENA,AR,71953,041,
86358,NaN,11023,FRANKLIN STATE BANK,1502 M STREET ,FRANKLIN,NE,68939,041,
86527,NaN,4910,"FIRST NATIONAL BANK OF SHELBY, THE",106 SOUTH LAFAYETTE STREET ,SHELBY,NC,28150,041,
86554,NaN,19813,CHESTER COUNTY BANK,MAIN AND FRANKLIN STREETS ,HENDERSON,TN,38340,041,
86675,NaN,29613,ROSEDALE FEDERAL SAVINGS AND LOAN ASSOCIATION,9616 BELAIR ROAD ,NOTTINGHAM,MD,21236,041,
87047,NaN,12836,FIRST STATE BANK OF PORTER,230 LINCOLN STREET ,PORTER,IN,46304,041,
87159,NaN,1168,FIRST STATE BANK OF NEWCASTLE,24 NORTH SUMNER ,NEWCASTLE,WY,82701,041,
87177,NaN,29617,"DOOLIN SECURITY SAVINGS BANK, FSB",610 N ST RT 2 ,NEW MARTINSVILLE,WV,26155,041,
87234,NaN,4952,FIRST NATIONAL BANK OF MCMINNVILLE,200 EAST MAIN STREET ,MCMINNVILLE,TN,37110,041,
87476,NaN,31539,"WILMINGTON SAVINGS BANK, THE",184 N SOUTH ST ,WILMINGTON,OH,45177,041,
87533,NaN,9055,CB&T BANK OF RUSSELL COUNTY,910 13TH STREET ,PHENIX CITY,AL,36867,041,
87579,NaN,28368,"MIDDLESEX FEDERAL SAVINGS, F.A.",1 COLLEGE AVENUE ,SOMERVILLE,MA,02144,041,
87944,NaN,15455,MIDSOUTH BANK,2506 SOUTHWEST CIRCLE ,JONESBORO,AR,72403,041,
88231,NaN,16418,BANKSOUTH,200 NORTH EAST ST. ,GREENSBORO,GA,30642,041,
88240,NaN,18001,PANORA STATE BANK,102 EAST MAIN P O BOX 9,PANORA,IA,50216,041,
88259,NaN,10960,JANESVILLE STATE BANK,201 NORTH MAIN ,JANESVILLE,MN,56048,041,
88352,NaN,16895,FIRST STATE BANK,MAIN & HIGHWAY 90 ,BEDIAS,TX,77831,041,
88455,NaN,18740,GENEVA STATE BANK,896 G STREET ,GENEVA,NE,68361,041,
88530,NaN,8807,IBERVILLE TRUST AND SAVINGS BANK,23405 EDEN STREET ,PLAQUEMINE,LA,70764,041,
88772,NaN,29620,UNITED COMMUNITY BANK,92 WALNUT STREET ,LAWRENCEBURG,IN,470251840,041,
88802,NaN,6221,"BANK OF NEW HAMPSHIRE, N.A.",8 CENTRAL STREET ,FARMINGTON,NH,03835,041,
88950,NaN,10176,STATE BANK OF KERKHOVEN,1011 ATLANTIC AVE. ,KERKHOVEN,MN,56252,041,
89032,NaN,19800,PLAQUEMINE BANK AND TRUST COMPANY,805 EDEN ST ,PLAQUEMINE,LA,70764,041,
89135,NaN,18136,FIRST NATIONAL BANK OF WAUCHULA,406 NORTH 6TH AVENUE ,WAUCHULA,FL,33873,041,
89162,NaN,26839,WELLS FARGO CENTRAL BANK,26610 WEST AGOURA BOULEVARD ,CALABASAS,CA,91302,041,
89452,NaN,9744,PINE CITY STATE BANK,600 HILLSIDE AVENUE SW ,PINE CITY,MN,55063,041,
89751,NaN,16902,"HOME STATE BANK, THE",935 CLEVELAND AVENUE ,LOVELAND,CO,80537,041,
89854,NaN,13809,MINNSTAR BANK NATIONAL ASSOCIATION,202 N. MAIN ,LAKE CRYSTAL,MN,56055,041,
89957,NaN,3098,"FIRST NATIONAL BANK OF BELLS/SAVOY, THE",HIGHWAY 82 EAST ,BELLS,TX,75414,041,
90047,NaN,13990,PALO SAVINGS BANK,CORNER 1ST & MAIN STREET PO BOX 20,PALO,IA,523240020,041,
90159,NaN,18861,FIRST NATIONAL BANK OF BELLAIRE,5501 BISSONNET ,HOUSTON,TX,77401,041,
90177,NaN,30812,FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF PASCAGOULA-MOSS POINT,903 JACKSON AVENUE ,PASCAGOULA,MS,395674314,041,
90234,NaN,16935,PARK NATIONAL BANK AND TRUST OF CHICAGO,2958 NORTH MILWAUKEE AVENUE ,CHICAGO,IL,60618,041,
90252,NaN,11468,GRAFTON STATE BANK,245 NORTH WASHINGTON AVENUE ,GRAFTON,NE,68365,041,
90328,NaN,6861,"GRAYSON NATIONAL BANK, THE",113 WEST MAIN STREET ,INDEPENDENCE,VA,24348,041,
90337,NaN,19143,COMMUNITY BANK,HIGHWAY 1 AND SAINT PHILLIP STREET ,RACELAND,LA,70394,041,
90403,NaN,5915,ATLANTIC BANK OF NEW YORK,960 AVENUE OF THE AMERICAS ,NEW YORK,NY,10001,041,
90467,NaN,11647,BANK OF WILLITS,145 SOUTH MAIN STREET ,WILLITS,CA,95490,041,
90579,NaN,29624,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF MCMINNVILLE,118 THIRD STREET ,MCMINNVILLE,OR,97128,041,
90627,NaN,770,CHIPPEWA VALLEY BANK,20 S MAIN ST ,RITTMAN,OH,44270,041,
90645,NaN,12518,COMMERCIAL BANK,200 SOUTH FREMONT STREET P O BOX 358,WHITEWATER,WI,53190,041,
90739,NaN,19389,SPIVEY STATE BANK,211 N. MAIN STREET ,SWAINSBORO,GA,30401,041,
91101,NaN,31953,"LAKE SUNAPEE BANK, FSB",9 MAIN STREET BOX 29,NEWPORT,NH,03773,041,
91129,NaN,6683,"RIPLEY NATIONAL BANK, THE",MAIN & SECOND ,RIPLEY,OH,451670007,041,
91147,NaN,12779,STATE BANK OF WITHEE,410 DIVISION STREET P O BOX E,WITHEE,WI,54498,041,
91156,NaN,4803,"CORNERBANK, NATIONAL ASSOCIATION",900 MAIN ,WINFIELD,KS,67156,041,
91259,NaN,8855,FIRST FARMERS & MERCHANTS NATIONAL BANK,112 S. MAIN ST. ,LE SUEUR,MN,56058,041,
91521,NaN,22035,F & M BANK - MASSANUTTEN,1855 EAST MARKET STREET ,HARRISONBURG,VA,22801,041,
91615,NaN,14523,"ANTWERP EXCHANGE BANK COMPANY, THE",305 SOUTH MAIN ST P.O. BOX 727,ANTWERP,OH,45813,041,
91651,NaN,10201,SECURITY STATE BANK OF LEWISTON,255 EAST MAIN STREET ,LEWISTON,MN,55952,041,
91754,NaN,3099,"FIRST NATIONAL BANK OF BELLVILLE, THE",100 E. MAIN ,BELLVILLE,TX,774181524,041,
91866,NaN,25853,"VINTAGE BANK, THE",1500 SOSCOL AVENUE ,NAPA,CA,94559,041,
91950,NaN,11133,FARMERS STATE BANK OF CANTON,220 EAST 5TH STREET ,CANTON,SD,57013,041,
91969,NaN,23266,SAN JOAQUIN BANK,1301 17TH STREET ,BAKERSFIELD,CA,93301,041,
92050,NaN,19205,MANCOS VALLEY BANK,138 NORTH MAIN STREET ,MANCOS,CO,81328,041,
92144,NaN,17551,COMMUNITY STATE BANK,207 MAIN STREET P O BOX 217,PATON,IA,50217,041,
92162,NaN,23001,AMERICAN PACIFIC BANK,315 SOUTHWEST FIFTH AVENUE ,PORTLAND,OR,97204,041,
92630,NaN,5672,FLORIDA COMMUNITY BANK,1400 NORTH 15TH STREET ,IMMOKALEE,FL,34142,041,
92658,NaN,524,FIRST INTERSTATE BANK,4 SOUTH MAIN STREET P.O. BOX 2007,SHERIDAN,WY,82801,041,
92676,NaN,29632,WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION,250 BROAD STREET BOX 250,WINDSOR,CT,06095,041,
92706,NaN,18028,SUGAR RIVER SAVINGS BANK,10 NORTH MAIN STREET BOX 569,NEWPORT,NH,03773,041,
92854,NaN,15890,STATE BANK OF LUCAN,MAIN ST. ,LUCAN,MN,56255,041,
92902,NaN,9406,BANK OF CATTARAUGUS,24 MAIN STREET ,CATTARAUGUS,NY,14719,041,
93039,NaN,91247,HARRIS TRUST/BANK OF MONTREAL,"777 SOUTH FLAGER DRIVE, SUITE 140 ",WEST PALM BEACH,FL,33401,041,
93244,NaN,10011,WOODFORD STATE BANK,2310 COUNTY ROAD M PO BOX 8,WOODFORD,WI,535990008,041,
93329,NaN,9160,BANK OF RIDGEWAY,PALMER STREET ,RIDGEWAY,SC,29130,041,
93413,NaN,16171,PORTAGE NATIONAL BANK,737 MAIN STREET ,PORTAGE,PA,15946,041,
93543,NaN,4419,SPRINGS VALLEY BANK & TRUST COMPANY,COLLEGE AND MAPLE STREETS ,FRENCH LICK,IN,47432,041,
93619,NaN,24938,"STATE STREET BANK AND TRUST COMPANY, N.A.",61 BROADWAY ,NEW YORK,NY,10006,041,
93628,NaN,21853,FIRST NATIONAL BANK,400 FRANKLIN STREET ,ROCKY MOUNT,VA,24151,041,
93721,NaN,15504,FIRST-CITIZENS BANK AND TRUST COMPANY OF SOUTH CAROLINA,1230 MAIN STREET ,COLUMBIA,SC,29201,041,
93758,NaN,5190,FIRST NATIONAL BANK IN MAHNOMEN,103 NORTH MAIN STREET ,MAHNOMEN,MN,56557,041,
94139,NaN,12203,MERCHANTS & MARINE BANK,3118 PASCAGOULA STREET ,PASCAGOULA,MS,39567,041,
94447,NaN,13593,FIRST BANK OF MONTGOMERY COUNTY,221 SOUTH GEORGE STREET ,MOUNT IDA,AR,71957,041,
94456,NaN,11469,GUIDE ROCK STATE BANK,401 UNIVERSITY AVENUE ,GUIDE ROCK,NE,68942,041,
94522,NaN,20484,BENCHMARK COMMUNITY BANK,100 S BROAD STREET ,KENBRIDGE,VA,23944,041,
94661,NaN,22445,FEATHER RIVER STATE BANK,777 COLUSA AVENUE ,YUBA CITY,CA,95991,041,
94755,NaN,1169,SUNDANCE STATE BANK,123 NORTH MAIN STREET ,SUNDANCE,WY,82729,041,
94858,NaN,8251,ADRIAN BANK,130 EAST MAIN STREET ,ADRIAN,MO,64720,041,
95051,NaN,6078,FIRST MIDWEST BANK,549 BROADWAY ,CENTERVILLE,SD,57014,041,
95659,NaN,429,"MORRIS STATE BANK, THE",511 WEST OZARK ,MORRIS,OK,74445,041,
95677,NaN,28369,"ROCKLAND SAVINGS BANK, FSB",582 MAIN STREET ,ROCKLAND,ME,04841,041,
95725,NaN,22665,"SALEM BANK AND TRUST, N.A.",220 EAST MAIN STREET ,SALEM,VA,24153,041,
95855,NaN,16225,FIRST NATIONAL BANK,1528 HIGHWAY 59 SOUTH ,THIEF RIVER FALLS,MN,56701,041,
96254,NaN,26751,PEAK NATIONAL BANK,26 SOUTH HIGHWAY 119 ,NEDERLAND,CO,80466,041,
96357,NaN,10164,LAKE COUNTRY STATE BANK,11 CENTRAL AVE. ,LONG PRAIRIE,MN,56347,041,
96553,NaN,19809,"HERSHEY STATE BANK, THE",100 SOUTH LINCOLN ,HERSHEY,NE,69143,041,
97037,NaN,919,UPTOWN NATIONAL BANK OF CHICAGO,4753 NORTH BROADWAY ,CHICAGO,IL,60640,041,
97055,NaN,17229,HENDERSON STATE BANK,1040 NORTH MAIN STREET ,HENDERSON,NE,68371,041,
97260,NaN,23232,FIRST COMMUNITY BANK OF THE DESERT,74-750 HIGHWAY 111 ,INDIAN WELLS,CA,92210,041,
97279,NaN,32292,WOODSFIELD SAVINGS BANK,600 LEWISVILLE ROAD ,WOODSFIELD,OH,43793,041,
97457,NaN,22601,CITIZENS BANK,339 MAIN STREET ,AMSTERDAM,MO,64723,041,
97804,NaN,90253,HOOSAC BANK,93 MAIN ST ,NORTH ADAMS,MA,01247,041,
97943,NaN,15272,MARION COUNTY STATE BANK,800 MAIN STREET PO BOX 105,PELLA,IA,50219,041,
98351,NaN,1779,"CITIZENS STATE BANK OF OURAY, THE",600 MAIN STREET ,OURAY,CO,81427,041,
98360,NaN,25058,"WESTERN SECURITY BANK, NATIONAL ASSOCIATION",4100 WEST ALAMEDA DRIVE ,BURBANK,CA,91505,041,
98454,NaN,18424,FRANKLIN NATIONAL BANK OF MINNEAPOLIS,2100 BLAISDELL AVENUE SOUTH ,MINNEAPOLIS,MN,55404,041,
98463,NaN,17809,CITIZENS BANK,275 SOUTHWEST THIRD STREET ,CORVALLIS,OR,97333,041,
98548,NaN,4331,"FIRST NATIONAL BANK OF DANA, THE",147 MAPLE STREET ,DANA,IN,47847,041,
98557,NaN,9021,BONHAM STATE BANK,502 N. CENTER ,BONHAM,TX,75418,041,
98641,NaN,23331,NATIONAL BANK OF ARKANSAS IN NORTH LITTLE ROCK,400 MCCAIN BOULEVARD ,NORTH LITTLE ROCK,AR,72115,041,
98717,NaN,25749,"EASTBANK, NATIONAL ASSOCIATION",235 CANAL STREET ,NEW YORK,NY,10013,031,
99004,NaN,23713,NEW YORK NATIONAL BANK,369 EAST 149TH STREET ,BRONX,NY,10455,041,
99059,NaN,20349,COMMUNITY STATE BANK,100 TEXAS AVENUE ,BOLING,TX,77420,041,
99143,NaN,16464,MERCHANTS & PLANTERS BANK,SECOND AND HAZEL STREETS ,NEWPORT,AR,72112,041,
99255,NaN,484,FIRST STATE BANK OF CLAREMONT,MAIN STREET ,CLAREMONT,SD,57432,041,
99376,NaN,32612,"NCB, FSB",139 S HIGH ST ,HILLSBORO,OH,45133,041,
99442,NaN,9359,BANK OF COMMERCE,310 HOWARD ,GREENWOOD,MS,38930,041,
99536,NaN,8432,BANK OF PUTNAM COUNTY,140 SOUTH JEFFERSON ,COOKEVILLE,TN,38501,041,
99853,NaN,9879,FIRST STATE BANK,102 NORTH MAIN STREET ,NOBLE,OK,73068,041,
99871,NaN,28373,NATICK FEDERAL SAVINGS BANK,49 MAIN STREET ,NATICK,MA,01760,041,
99974,NaN,11207,BANK OF FAIRFIELD,EAST 213 MAIN STREET ,FAIRFIELD,WA,99012,041,
100160,NaN,23757,MERCANTILE NATIONAL BANK,1840 CENTURY PARK EAST ,LOS ANGELES,CA,90067,041,
100236,NaN,16825,SUNMARK COMMUNITY BANK,347 COMMERCE STREET ,HAWKINSVILLE,GA,31036,041,
100357,NaN,3108,"FIRST NATIONAL BANK OF BOWIE, THE",101 W TARRANT ST ,BOWIE,TX,76201,041,
100553,NaN,12643,DAKOTA HERITAGE STATE BANK,224 MAIN ST. ,CHANCELLOR,SD,57015,041,
100562,NaN,21943,TRI COUNTIES BANK,63 CONSTITUTION DRIVE ,CHICO,CA,95973,041,
100777,NaN,29672,CHARLEROI FEDERAL SAVINGS BANK,101 MCKEAN AVENUE ,CHARLEROI,PA,15022,041,
100843,NaN,1294,FIRST NATIONAL BANK OF SHARP COUNTY,16 ASH FLAT DRIVE ,ASH FLAT,AR,72513,041,
101019,NaN,19842,BANK LEUMI USA,579 FIFTH AVENUE ,NEW YORK,NY,10017,031,
101037,NaN,8149,FIRST AMERICAN BANK AND TRUST,2785 LOUISIANA HIGHWAY 200 WEST ,VACHERIE,LA,70090,041,
101233,NaN,24067,RIVERSIDE NATIONAL BANK OF FLORIDA,2211 OKEECHOBEE ROAD ,FORT PIERCE,FL,33454,041,
101327,NaN,14043,BELMONT NATIONAL BANK,980 NATIONAL ROAD ,WHEELING,WV,26003,041,
101345,NaN,8727,CITIZENS STATE BANK,110 SOUTH ELM ,BALD KNOB,AR,72010,041,
101439,NaN,15336,"DURDEN BANKING COMPANY, INCORPORATED",111 NORTH RAILROAD AVENUE ,TWIN CITY,GA,30471,041,
101671,NaN,28380,"ADIRONDACK BANK, NATIONAL ASSOCIATION",60 MAIN ST ,SARANAC LAKE,NY,12983,041,
101738,NaN,8552,GREAT SOUTHERN NATIONAL BANK,218 22ND AVENUE S. ,MERIDIAN,MS,39302,041,
101952,NaN,3109,"BRADY NATIONAL BANK, THE",101 S. BLACKBURN ,BRADY,TX,768254504,041,
102155,NaN,5995,STATE GUARANTY BANK,202 NORTH MAIN STREET ,OKEENE,OK,73763,041,
102173,NaN,28379,HOMETOWN BANK OF THE HUDSON VALLEY,12-14 MAIN ST ,WALDEN,NY,12586,041,
102230,NaN,11421,"LAMAR BANK, THE",401 SHELBY SPEIGHTS DRIVE ,PURVIS,MS,39475,041,
102333,NaN,10074,WILKINSON COUNTY BANK,105 EAST BANK STREET ,IRWINTON,GA,31042,041,
102342,NaN,245,PERRY STATE BANK,1202 2ND STREET P O BOX 129,PERRY,IA,50220,041,
102539,NaN,920,COMMUNITY BANKS OF SHELBY COUNTY,ROUTE 128 ,COWDEN,IL,62422,041,
102557,NaN,18761,WESTERN STATE BANK,23804 CEDAR DRIVE ,WATERLOO,NE,68069,041,
102874,NaN,29676,PAPER CITY SAVINGS ASSOCIATION,4200 8TH STREET SOUTH ,WISCONSIN RAPIDS,WI,54494,041,
103134,NaN,1374,"BANK OF COMMERCE, THE",32460 BOWIE STREET ,WHITE CASTLE,LA,70788,041,
103255,NaN,4537,FIRST NATIONAL BANK AND TRUST COMPANY,801 EAST BROADWAY ,COLUMBIA,MO,65201,041,
103536,NaN,10073,FIRST STATE BANK AND TRUST COMPANY OF VALDOSTA,527 N PATTERSON ST ,VALDOSTA,GA,31601,041,
103554,NaN,5099,RURAL AMERICAN BANK-BRAHAM,121 S. MAIN ,BRAHAM,MN,55006,041,
103563,NaN,17909,FIRST STATE BANK OF MOBEETIE,1ST & WHEELER ,MOBEETIE,TX,79061,041,
103602,NaN,12940,STATE BANK OF CHITTENANGO,101 FALLS BOULEVARD ,CHITTENANGO,NY,13037,041,
103862,NaN,15025,"BANK ONE, ARIZONA, NATIONAL ASSOCIATION",241 NORTH CENTRAL AVENUE ,PHOENIX,AZ,85004,041,
104038,NaN,19797,"PARK AVENUE BANK, THE",3102 NORTH OAK STREET EXTENSION ,VALDOSTA,GA,31602,041,
104056,NaN,18969,"LAKEWOOD BANK, NATIONAL ASSOCIATION",1100 HIGHWAY 210 WEST SUITE A,BAXTER,MN,56425,041,
104234,NaN,9030,"HARRISON COUNTY BANK, THE",MAIN STREET ,LOST CREEK,WV,26385,041,
104430,NaN,16240,JASPER BANKING COMPANY,1 COLLEGE STREET ,JASPER,GA,30143,041,
104542,NaN,16318,MARSEILLES BANK NATIONAL ASSOCIATION,100 EAST BLUFF ,MARSEILLES,IL,61341,041,
104663,NaN,23876,BANK OF OAKLAND,360 14TH STREET ,OAKLAND,CA,94612,041,
104971,NaN,29685,MARTINSVILLE FIRST SAVINGS BANK,25 WEST CHURCH STREET ,MARTINSVILLE,VA,241126217,041,
105026,NaN,5885,"FARMERS BANK OF WILLARDS, THE",7484 MARKET ST ,WILLARDS,MD,21874,041,
105044,NaN,17032,MAROA FORSYTH COMMUNITY BANK,101 EAST MAIN PO BOX 350,MAROA,IL,61756,041,
105053,NaN,1176,FIRST STATE BANK,201 S. MAIN ,BREMOND,TX,76629,041,
105071,NaN,30869,"PATAPSCO BANK, THE",1301 MERRITT BOULEVARD ,DUNDALK,MD,212222194,041,
105222,NaN,22331,VIRGINIA COMMUNITY BANK,STATE ROUTE 22 & US HIGHWAY 33 ,LOUISA,VA,23093,041,
105473,NaN,29683,HOME FEDERAL BANK OF TENNESSEE,515 MARKET STREET ,KNOXVILLE,TN,379022118,041,
105530,NaN,13775,FARMERS STATE BANK,100 MAIN STREET ,MOUNTAIN CITY,TN,37683,041,
105549,NaN,100,BANK OF BENTONVILLE,201 NORTHEAST A STREET ,BENTONVILLE,AR,72712,041,
105633,NaN,22309,BANK OF DOOLY,203 COTTON AVENUE ,VIENNA,GA,31092,041,
105950,NaN,1773,"MINNEQUA BANK OF PUEBLO, THE",401 WEST NORTHERN AVENUE ,PUEBLO,CO,81004,041,
106359,NaN,23473,"FIRST FIDELITY BANK, NATIONAL ASSOCIATION",5101 NORTH CLASSEN BOULEVARD ,OKLAHOMA CITY,OK,73118,041,
106377,NaN,28395,CAPE SAVINGS BANK,225 NORTH MAIN STREET ,CAPE MAY COURT HOUSE,NJ,08210,041,
106452,NaN,12594,"PUEBLO BANK AND TRUST COMPANY, THE",301 WEST 5TH STREET ,PUEBLO,CO,81003,041,
106519,NaN,13223,"CITIZENS BANK OF ASHVILLE, OHIO, THE",26 E. MAIN STREET ,ASHVILLE,OH,431031512,041,
106546,NaN,14194,POLK COUNTY BANK,5601 MERLE HAY ROAD PO BOX 200,JOHNSTON,IA,50131,041,
106555,NaN,5102,"FIRST NATIONAL BANK OF BREWSTER, THE",224 MAIN STREET ,BREWSTER,MN,56119,041,
106658,NaN,3114,"FIRST NATIONAL BANK OF BRIDGEPORT, THE",909 STEVENS STREET ,BRIDGEPORT,TX,764262326,041,
106676,NaN,30878,BAR HARBOR SAVINGS AND LOAN ASSOCIATION,103 MAIN STREET ,BAR HARBOR,ME,04609,041,
107057,NaN,8847,STATE BANK OF BRICELYN,MAIN ST. ,BRICELYN,MN,56014,041,
107141,NaN,1799,FIRST NATIONAL BANK OF MARSHALL,215 NORTH MICHIGAN AVENUE ,MARSHALL,IL,62441,041,
107150,NaN,3116,"FIRST NATIONAL BANK OF BROWNFIELD, THE",301 W. MAIN ,BROWNFIELD,TX,793164323,041,
107226,NaN,10032,COMMUNITY NATIONAL BANK OF NORTHWESTERN PENNSYLVANIA,53 E STATE ST ,ALBION,PA,16401,041,
107244,NaN,110,BANK OF THE OZARKS,12615 CHENAL PARKWAY ,LITTLE ROCK,AR,72211,041,
